year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,group
2013,1,1,1253,1212,41,1524,1436,48,UA,754,N576UA,EWR,DEN,252,1605,12,12,2013-01-01T17:00:00Z,2
2013,1,1,1255,1300,-5,1541,1537,4,DL,781,N644DL,LGA,ATL,132,762,13,0,2013-01-01T18:00:00Z,2
2013,1,1,1255,1200,55,1451,1330,81,MQ,4601,N518MQ,LGA,BNA,139,764,12,0,2013-01-01T17:00:00Z,2
2013,1,1,1343,1330,13,1658,1640,18,AA,753,N3CFAA,LGA,DFW,235,1389,13,30,2013-01-01T18:00:00Z,2
2013,1,1,1346,1330,16,1736,1710,26,WN,2335,N900WN,EWR,PHX,334,2133,13,30,2013-01-01T18:00:00Z,2
2013,1,1,1355,1356,-1,1646,1650,-4,B6,1783,N709JB,JFK,MCO,144,944,13,56,2013-01-01T18:00:00Z,2
2013,1,1,1419,1420,-1,1557,1550,7,MQ,3728,N500MQ,EWR,ORD,136,719,14,20,2013-01-01T19:00:00Z,2
2013,1,1,1424,1349,35,1701,1556,65,EV,4687,N15574,EWR,CVG,129,569,13,49,2013-01-01T18:00:00Z,2
2013,1,1,1436,1435,1,1840,1820,20,DL,1322,N722TW,JFK,SFO,375,2586,14,35,2013-01-01T19:00:00Z,2
2013,1,1,1451,1500,-9,1634,1636,-2,9E,4105,N8444F,JFK,IAD,57,228,15,0,2013-01-01T20:00:00Z,2
2013,1,1,1453,1450,3,1707,1645,22,MQ,4172,N610MQ,JFK,CLE,99,425,14,50,2013-01-01T19:00:00Z,2
2013,1,1,1454,1500,-6,1815,1837,-22,DL,1467,N702TW,JFK,LAX,340,2475,15,0,2013-01-01T20:00:00Z,2
2013,1,1,1459,1501,-2,1651,1651,0,EV,5675,N15572,EWR,CMH,96,463,15,1,2013-01-01T20:00:00Z,2
2013,1,1,1505,1510,-5,1654,1655,-1,MQ,4447,N734MQ,LGA,RDU,82,431,15,10,2013-01-01T20:00:00Z,2
2013,1,1,1511,1515,-4,1657,1700,-3,DL,1456,N318NB,LGA,BUF,60,292,15,15,2013-01-01T20:00:00Z,2
2013,1,1,1520,1520,0,1817,1816,1,UA,1593,N13750,EWR,MCO,152,937,15,20,2013-01-01T20:00:00Z,2
2013,1,1,1526,1530,-4,1714,1650,24,WN,4105,N280WN,EWR,MDW,141,711,15,30,2013-01-01T20:00:00Z,2
2013,1,1,1529,1457,32,1720,1634,46,UA,459,N497UA,EWR,ORD,138,719,14,57,2013-01-01T19:00:00Z,2
2013,1,1,1536,1520,16,1709,1650,19,WN,2081,N226WN,LGA,MKE,133,738,15,20,2013-01-01T20:00:00Z,2
2013,1,1,1552,1600,-8,1749,1757,-8,9E,3459,N910XJ,JFK,BNA,150,765,16,0,2013-01-01T21:00:00Z,2
2013,1,1,1603,1605,-2,1818,1750,28,MQ,4415,N730MQ,LGA,RDU,79,431,16,5,2013-01-01T21:00:00Z,2
2013,1,1,1604,1510,54,1817,1710,67,MQ,4579,N0EGMQ,LGA,CLT,106,544,15,10,2013-01-01T20:00:00Z,2
2013,1,1,1627,1459,88,1925,1805,80,B6,63,N599JB,JFK,TPA,159,1005,14,59,2013-01-01T19:00:00Z,2
2013,1,1,1627,1630,-3,1940,2020,-40,VX,27,N847VA,JFK,SFO,354,2586,16,30,2013-01-01T21:00:00Z,2
2013,1,1,1634,1626,8,1913,1852,21,UA,69,N27213,EWR,DEN,247,1605,16,26,2013-01-01T21:00:00Z,2
2013,1,1,1702,1700,2,2044,2028,16,UA,1259,N16632,LGA,IAH,234,1416,17,0,2013-01-01T22:00:00Z,2
2013,1,1,1705,1705,0,2054,2010,44,AA,1905,N4WRAA,EWR,DFW,251,1372,17,5,2013-01-01T22:00:00Z,2
2013,1,1,1726,1729,-3,2042,2100,-18,UA,512,N557UA,JFK,SFO,347,2586,17,29,2013-01-01T22:00:00Z,2
2013,1,1,1739,1745,-6,1956,1953,3,DL,2331,N965DL,LGA,DTW,93,502,17,45,2013-01-01T22:00:00Z,2
2013,1,1,1758,1800,-2,2105,2110,-5,B6,989,N663JB,JFK,FLL,152,1069,18,0,2013-01-01T23:00:00Z,2
2013,1,1,1806,1810,-4,2002,1945,17,MQ,4484,N711MQ,LGA,BNA,152,764,18,10,2013-01-01T23:00:00Z,2
2013,1,1,1825,1829,-4,2046,2032,14,US,1973,N460UW,EWR,CLT,106,529,18,29,2013-01-01T23:00:00Z,2
2013,1,1,1828,1805,23,2023,1951,32,EV,4334,N11119,LGA,CLE,80,419,18,5,2013-01-01T23:00:00Z,2
2013,1,1,1840,1836,4,2022,2010,12,B6,130,N281JB,JFK,BUF,70,301,18,36,2013-01-01T23:00:00Z,2
2013,1,1,1846,1745,61,2147,2055,52,AA,785,N3ESAA,LGA,DFW,223,1389,17,45,2013-01-01T22:00:00Z,2
2013,1,1,1854,1830,24,2055,2015,40,MQ,4674,N518MQ,LGA,CLE,87,419,18,30,2013-01-01T23:00:00Z,2
2013,1,1,1856,1645,131,2212,2005,127,AA,181,N323AA,JFK,LAX,336,2475,16,45,2013-01-01T21:00:00Z,2
2013,1,1,1859,1900,-1,2012,2021,-9,EV,4131,N11544,EWR,RIC,55,277,19,0,2013-01-02T00:00:00Z,2
2013,1,1,1909,1910,-1,2212,2224,-12,DL,1629,N6710E,JFK,LAS,323,2248,19,10,2013-01-02T00:00:00Z,2
2013,1,1,1910,1910,0,2126,2107,19,9E,3359,N925XJ,JFK,ORD,141,740,19,10,2013-01-02T00:00:00Z,2
2013,1,1,1921,1920,1,2315,2319,-4,DL,541,N375DA,JFK,PHX,314,2153,19,20,2013-01-02T00:00:00Z,2
2013,1,1,1930,1745,105,2233,2112,81,DL,503,N3764D,JFK,SAN,333,2446,17,45,2013-01-01T22:00:00Z,2
2013,1,1,1934,1725,129,2126,1855,151,MQ,4255,N909MQ,JFK,BNA,154,765,17,25,2013-01-01T22:00:00Z,2
2013,1,1,1940,1905,35,2033,2021,12,UA,698,N580UA,EWR,BOS,36,200,19,5,2013-01-02T00:00:00Z,2
2013,1,1,2008,1855,73,2223,2100,83,MQ,4649,N527MQ,LGA,MSP,163,1020,18,55,2013-01-01T23:00:00Z,2
2013,1,1,2020,2030,-10,2148,2155,-7,FL,354,N895AT,LGA,CAK,73,397,20,30,2013-01-02T01:00:00Z,2
2013,1,1,2024,1835,109,2328,2157,91,B6,359,N607JB,JFK,BUR,328,2465,18,35,2013-01-01T23:00:00Z,2
2013,1,1,2030,2030,0,2132,2139,-7,EV,4660,N14203,EWR,MHT,33,209,20,30,2013-01-02T01:00:00Z,2
2013,1,1,2100,2100,0,2307,2250,17,MQ,4584,N0EGMQ,LGA,CLT,101,544,21,0,2013-01-02T02:00:00Z,2
2013,1,1,2101,2050,11,2156,2202,-6,B6,1020,N587JB,JFK,BOS,34,187,20,50,2013-01-02T01:00:00Z,2
2013,1,1,2107,2040,27,2354,2359,-5,B6,677,N779JB,JFK,LAX,323,2475,20,40,2013-01-02T01:00:00Z,2
2013,1,1,2108,2057,11,25,39,-14,UA,1517,N17245,EWR,SFO,354,2565,20,57,2013-01-02T01:00:00Z,2
2013,1,1,2116,2110,6,2202,2212,-10,EV,4404,N15912,EWR,PVD,28,160,21,10,2013-01-02T02:00:00Z,2
2013,1,1,2134,2045,49,20,2352,28,UA,1106,N27733,EWR,FLL,152,1065,20,45,2013-01-02T01:00:00Z,2
2013,1,1,2157,2155,2,43,41,2,B6,43,N537JB,JFK,MCO,140,944,21,55,2013-01-02T02:00:00Z,2
2013,1,1,2211,2145,26,2339,2311,28,B6,104,N228JB,JFK,BUF,64,301,21,45,2013-01-02T02:00:00Z,2
2013,1,1,2356,2359,-3,425,437,-12,B6,727,N588JB,JFK,BQN,186,1576,23,59,2013-01-02T04:00:00Z,2
2013,1,2,126,2250,156,233,2359,154,B6,22,N636JB,JFK,SYR,49,209,22,50,2013-01-03T03:00:00Z,2
2013,1,2,556,600,-4,724,723,1,EV,5708,N836AS,LGA,IAD,54,229,6,0,2013-01-02T11:00:00Z,2
2013,1,2,600,600,0,814,749,25,EV,4334,N13914,EWR,CMH,98,463,6,0,2013-01-02T11:00:00Z,2
2013,1,2,600,600,0,819,815,4,9E,4171,N8946A,EWR,CVG,120,569,6,0,2013-01-02T11:00:00Z,2
2013,1,2,606,610,-4,846,845,1,DL,1743,N387DA,JFK,ATL,129,760,6,10,2013-01-02T11:00:00Z,2
2013,1,2,609,600,9,909,854,15,B6,507,N630JB,EWR,FLL,158,1065,6,0,2013-01-02T11:00:00Z,2
2013,1,2,622,630,-8,820,830,-10,MQ,4599,N6EAMQ,LGA,MSP,159,1020,6,30,2013-01-02T11:00:00Z,2
2013,1,2,628,615,13,730,715,15,WN,3641,N961WN,EWR,BWI,42,169,6,15,2013-01-02T11:00:00Z,2
2013,1,2,630,635,-5,948,942,6,DL,1879,N969DL,LGA,FLL,166,1076,6,35,2013-01-02T11:00:00Z,2
2013,1,2,630,630,0,727,740,-13,WN,4648,N7735A,LGA,BWI,42,185,6,30,2013-01-02T11:00:00Z,2
2013,1,2,632,635,-3,812,812,0,EV,4150,N16987,EWR,RDU,82,416,6,35,2013-01-02T11:00:00Z,2
2013,1,2,634,630,4,806,810,-4,AA,303,N3DYAA,LGA,ORD,123,733,6,30,2013-01-02T11:00:00Z,2
2013,1,2,637,631,6,821,815,6,UA,1162,N39297,EWR,CLE,79,404,6,31,2013-01-02T11:00:00Z,2
2013,1,2,640,640,0,732,749,-17,B6,1002,N807JB,JFK,BOS,34,187,6,40,2013-01-02T11:00:00Z,2
2013,1,2,647,645,2,849,916,-27,UA,320,N587UA,LGA,DEN,218,1620,6,45,2013-01-02T11:00:00Z,2
2013,1,2,649,651,-2,934,946,-12,UA,392,N464UA,EWR,MCO,141,937,6,51,2013-01-02T11:00:00Z,2
2013,1,2,701,705,-4,1001,943,18,DL,1445,N339NB,LGA,MSY,193,1183,7,5,2013-01-02T12:00:00Z,2
2013,1,2,723,713,10,846,849,-3,UA,393,N529UA,EWR,ORD,114,719,7,13,2013-01-02T12:00:00Z,2
2013,1,2,729,729,0,1047,1039,8,B6,1601,N645JB,LGA,RSW,168,1080,7,29,2013-01-02T12:00:00Z,2
2013,1,2,738,745,-7,926,930,-4,AA,309,N528AA,LGA,ORD,121,733,7,45,2013-01-02T12:00:00Z,2
2013,1,2,743,745,-2,858,857,1,9E,3373,N902XJ,JFK,PHL,30,94,7,45,2013-01-02T12:00:00Z,2
2013,1,2,745,746,-1,1118,1129,-11,UA,1668,N37287,EWR,SFO,350,2565,7,46,2013-01-02T12:00:00Z,2
2013,1,2,751,800,-9,942,945,-3,9E,3643,N8869B,JFK,PIT,68,340,8,0,2013-01-02T13:00:00Z,2
2013,1,2,752,800,-8,956,959,-3,EV,4166,N11536,EWR,GSP,109,594,8,0,2013-01-02T13:00:00Z,2
2013,1,2,752,745,7,1055,1042,13,UA,251,N430UA,EWR,IAH,215,1400,7,45,2013-01-02T12:00:00Z,2
2013,1,2,759,805,-6,901,919,-18,B6,1172,N309JB,EWR,BOS,38,200,8,5,2013-01-02T13:00:00Z,2
2013,1,2,811,815,-4,1100,1056,4,DL,914,N328NW,LGA,DEN,253,1620,8,15,2013-01-02T13:00:00Z,2
2013,1,2,818,805,13,1044,1005,39,B6,219,N339JB,JFK,CLT,108,541,8,5,2013-01-02T13:00:00Z,2
2013,1,2,827,751,36,1103,1015,48,EV,4160,N17185,EWR,OMA,198,1134,7,51,2013-01-02T12:00:00Z,2
2013,1,2,828,830,-2,1021,1012,9,B6,905,N281JB,JFK,ORD,138,740,8,30,2013-01-02T13:00:00Z,2
2013,1,2,829,830,-1,1154,1200,-6,UA,572,N525UA,JFK,LAX,340,2475,8,30,2013-01-02T13:00:00Z,2
2013,1,2,841,845,-4,1134,1024,70,9E,3754,N829AY,JFK,BUF,59,301,8,45,2013-01-02T13:00:00Z,2
2013,1,2,841,850,-9,1017,1035,-18,MQ,4558,N730MQ,LGA,CLE,71,419,8,50,2013-01-02T13:00:00Z,2
2013,1,2,844,843,1,1114,1125,-11,UA,1643,N29129,EWR,DEN,242,1605,8,43,2013-01-02T13:00:00Z,2
2013,1,2,858,823,35,1246,1158,48,UA,974,N563UA,EWR,SFO,350,2565,8,23,2013-01-02T13:00:00Z,2
2013,1,2,903,900,3,1218,1225,-7,VX,407,N624VA,JFK,LAX,338,2475,9,0,2013-01-02T14:00:00Z,2
2013,1,2,909,900,9,1525,1530,-5,HA,51,N380HA,JFK,HNL,638,4983,9,0,2013-01-02T14:00:00Z,2
2013,1,2,919,920,-1,1248,1240,8,AA,1589,N546AA,EWR,DFW,243,1372,9,20,2013-01-02T14:00:00Z,2
2013,1,2,925,930,-5,1233,1238,-5,B6,375,N593JB,LGA,FLL,162,1076,9,30,2013-01-02T14:00:00Z,2
2013,1,2,928,900,28,1233,1204,29,UA,1148,N14219,EWR,TPA,159,997,9,0,2013-01-02T14:00:00Z,2
2013,1,2,933,924,9,1235,1233,2,DL,1109,N372NW,LGA,TPA,156,1010,9,24,2013-01-02T14:00:00Z,2
2013,1,2,950,955,-5,1219,1220,-1,MQ,4654,N1EAMQ,LGA,ATL,121,762,9,55,2013-01-02T14:00:00Z,2
2013,1,2,1020,1023,-3,1242,1252,-10,FL,347,N997AT,LGA,ATL,122,762,10,23,2013-01-02T15:00:00Z,2
2013,1,2,1031,1015,16,1135,1135,0,UA,1702,N24715,EWR,BOS,40,200,10,15,2013-01-02T15:00:00Z,2
2013,1,2,1048,1047,1,1321,1405,-44,UA,460,N526UA,EWR,SFO,310,2565,10,47,2013-01-02T15:00:00Z,2
2013,1,2,1051,1055,-4,1356,1405,-9,AA,739,N3JMAA,LGA,DFW,228,1389,10,55,2013-01-02T15:00:00Z,2
2013,1,2,1056,1059,-3,1421,1355,26,UA,1143,N67134,EWR,PBI,187,1023,10,59,2013-01-02T15:00:00Z,2
2013,1,2,1110,1030,40,1231,1210,21,AA,321,N4UCAA,LGA,ORD,116,733,10,30,2013-01-02T15:00:00Z,2
2013,1,2,1115,1120,-5,1248,1250,-2,EV,5218,N730EV,LGA,PIT,60,335,11,20,2013-01-02T16:00:00Z,2
2013,1,2,1124,1125,-1,1315,1305,10,AA,327,N3DLAA,LGA,ORD,133,733,11,25,2013-01-02T16:00:00Z,2
2013,1,2,1125,1130,-5,1416,1448,-32,UA,703,N510UA,JFK,LAX,332,2475,11,30,2013-01-02T16:00:00Z,2
2013,1,2,1145,1150,-5,1343,1345,-2,MQ,4646,N504MQ,LGA,MSP,157,1020,11,50,2013-01-02T16:00:00Z,2
2013,1,2,1156,1200,-4,1437,1448,-11,B6,523,N612JB,EWR,MCO,140,937,12,0,2013-01-02T17:00:00Z,2
2013,1,2,1201,1200,1,1504,1545,-41,VX,25,N846VA,JFK,SFO,338,2586,12,0,2013-01-02T17:00:00Z,2
2013,1,2,1205,1205,0,1349,1345,4,MQ,4431,N725MQ,LGA,RDU,86,431,12,5,2013-01-02T17:00:00Z,2
2013,1,2,1230,1235,-5,1423,1438,-15,EV,5311,N752EV,EWR,DTW,90,488,12,35,2013-01-02T17:00:00Z,2
2013,1,2,1236,1240,-4,1403,1405,-2,WN,3223,N486WN,LGA,MKE,127,738,12,40,2013-01-02T17:00:00Z,2
2013,1,2,1240,1245,-5,1538,1600,-22,AA,2253,N3BHAA,LGA,MIA,158,1096,12,45,2013-01-02T17:00:00Z,2
2013,1,2,1240,1240,0,1556,1540,16,AA,1853,N4XRAA,EWR,DFW,233,1372,12,40,2013-01-02T17:00:00Z,2
2013,1,2,1255,1259,-4,1501,1502,-1,US,1459,N185UW,LGA,CLT,104,544,12,59,2013-01-02T17:00:00Z,2
2013,1,2,1258,1300,-2,1448,1450,-2,MQ,4426,N723MQ,LGA,CMH,84,479,13,0,2013-01-02T18:00:00Z,2
2013,1,2,1307,1315,-8,1518,1505,13,US,1615,N543UW,EWR,CLT,109,529,13,15,2013-01-02T18:00:00Z,2
2013,1,2,1328,1330,-2,1621,1641,-20,B6,355,N637JB,JFK,BUR,339,2465,13,30,2013-01-02T18:00:00Z,2
2013,1,2,1332,1327,5,1419,1433,-14,EV,4316,N14153,EWR,ALB,33,143,13,27,2013-01-02T18:00:00Z,2
2013,1,2,1346,1350,-4,1548,1545,3,MQ,4577,N6EAMQ,LGA,CLT,103,544,13,50,2013-01-02T18:00:00Z,2
2013,1,2,1416,1429,-13,1736,1803,-27,UA,257,N518UA,JFK,SFO,341,2586,14,29,2013-01-02T19:00:00Z,2
2013,1,2,1422,1357,25,1604,1525,39,EV,3835,N16911,EWR,MSN,145,799,13,57,2013-01-02T18:00:00Z,2
2013,1,2,1429,1400,29,1730,1716,14,DL,2079,N912DE,LGA,FLL,154,1076,14,0,2013-01-02T19:00:00Z,2
2013,1,2,1448,1455,-7,1724,1639,45,9E,3295,N916XJ,JFK,BUF,59,301,14,55,2013-01-02T19:00:00Z,2
2013,1,2,1452,1449,3,1750,1746,4,UA,1166,N36247,EWR,TPA,160,997,14,49,2013-01-02T19:00:00Z,2
2013,1,2,1503,1430,33,1807,1735,32,AA,883,N4XTAA,EWR,DFW,223,1372,14,30,2013-01-02T19:00:00Z,2
2013,1,2,1513,1500,13,1642,1636,6,9E,4105,N8908D,JFK,IAD,56,228,15,0,2013-01-02T20:00:00Z,2
2013,1,2,1519,1410,69,1700,1555,65,MQ,4491,N719MQ,LGA,CLE,70,419,14,10,2013-01-02T19:00:00Z,2
2013,1,2,1528,1349,99,1755,1556,119,EV,4090,N18557,EWR,CVG,121,569,13,49,2013-01-02T18:00:00Z,2
2013,1,2,1531,1530,1,1846,1805,41,MQ,4525,N711MQ,LGA,XNA,216,1147,15,30,2013-01-02T20:00:00Z,2
2013,1,2,1532,1510,22,1738,1655,43,MQ,4447,N739MQ,LGA,RDU,80,431,15,10,2013-01-02T20:00:00Z,2
2013,1,2,1545,1503,42,1853,1818,35,UA,379,N451UA,EWR,RSW,166,1068,15,3,2013-01-02T20:00:00Z,2
2013,1,2,1605,1607,-2,2010,1947,23,UA,1635,N76504,EWR,PHX,340,2133,16,7,2013-01-02T21:00:00Z,2
2013,1,2,1606,1610,-4,1730,1729,1,9E,4088,N8646A,JFK,PHL,29,94,16,10,2013-01-02T21:00:00Z,2
2013,1,2,1628,1630,-2,1950,2020,-30,VX,27,N836VA,JFK,SFO,346,2586,16,30,2013-01-02T21:00:00Z,2
2013,1,2,1701,1636,25,2008,1943,25,B6,143,N516JB,JFK,PBI,149,1028,16,36,2013-01-02T21:00:00Z,2
2013,1,2,1704,1630,34,1958,1848,70,EV,4645,N17115,EWR,SAV,122,708,16,30,2013-01-02T21:00:00Z,2
2013,1,2,1713,1700,13,2007,2000,7,UA,342,N597UA,EWR,LAX,332,2454,17,0,2013-01-02T22:00:00Z,2
2013,1,2,1715,1700,15,1916,1840,36,MQ,4323,N600MQ,JFK,ORF,55,290,17,0,2013-01-02T22:00:00Z,2
2013,1,2,1716,1710,6,2053,2015,38,AA,695,N3AUAA,JFK,AUS,252,1521,17,10,2013-01-02T22:00:00Z,2
2013,1,2,1723,1729,-6,2026,2046,-20,DL,1185,N380DA,EWR,SLC,277,1969,17,29,2013-01-02T22:00:00Z,2
2013,1,2,1735,1738,-3,2035,2103,-28,UA,1120,N39728,EWR,SAN,341,2425,17,38,2013-01-02T22:00:00Z,2
2013,1,2,1744,1745,-1,1938,1953,-15,DL,2331,N900DE,LGA,DTW,78,502,17,45,2013-01-02T22:00:00Z,2
2013,1,2,1746,1750,-4,2043,2115,-32,UA,535,N512UA,JFK,LAX,325,2475,17,50,2013-01-02T22:00:00Z,2
2013,1,2,1803,1759,4,1951,1953,-2,UA,1053,N17730,EWR,CLE,67,404,17,59,2013-01-02T22:00:00Z,2
2013,1,2,1810,1703,67,1948,1823,85,EV,4272,N13988,EWR,RIC,53,277,17,3,2013-01-02T22:00:00Z,2
2013,1,2,1810,1810,0,2132,2130,2,AA,1611,N3FPAA,LGA,MIA,164,1096,18,10,2013-01-02T23:00:00Z,2
2013,1,2,1810,1730,40,2145,2110,35,B6,179,N809JB,JFK,PHX,299,2153,17,30,2013-01-02T22:00:00Z,2
2013,1,2,1818,1815,3,2131,2130,1,AS,7,N552AS,EWR,SEA,332,2402,18,15,2013-01-02T23:00:00Z,2
2013,1,2,1827,1829,-2,2035,2032,3,US,1973,N449US,EWR,CLT,99,529,18,29,2013-01-02T23:00:00Z,2
2013,1,2,1831,1815,16,2130,2151,-21,B6,173,N729JB,JFK,SJC,323,2569,18,15,2013-01-02T23:00:00Z,2
2013,1,2,1832,1835,-3,1926,1950,-24,MQ,3944,N846MQ,JFK,BWI,36,184,18,35,2013-01-02T23:00:00Z,2
2013,1,2,1833,1833,0,1951,2014,-23,DL,857,N334NB,LGA,PIT,57,335,18,33,2013-01-02T23:00:00Z,2
2013,1,2,1851,1840,11,2030,2020,10,MQ,3730,N525MQ,EWR,ORD,123,719,18,40,2013-01-02T23:00:00Z,2
2013,1,2,1903,1910,-7,2228,2215,13,AA,2075,N4YCAA,EWR,DFW,230,1372,19,10,2013-01-03T00:00:00Z,2
2013,1,2,1910,1915,-5,2218,2244,-26,DL,2391,N983DL,JFK,TPA,157,1005,19,15,2013-01-03T00:00:00Z,2
2013,1,2,1914,1912,2,2219,2237,-18,B6,87,N775JB,JFK,SLC,272,1990,19,12,2013-01-03T00:00:00Z,2
